Номер счёта;Расчётный период;Вид услуги;Начислено;Оплачено;Задолженность;Основание начисления
2100004815;2026-06;ХВ;614,94;0,00;614,94;по счётчику
2100004815;2026-06;ХВО;295,17;0,00;295,17;по счётчику
2100004815;2026-07;ХВ;186,93;0,00;186,93;по счётчику
2100004815;2026-07;ХВО;89,73;0,00;89,73;по счётчику
2100004815;2026-08;ХВ;270,12;0,00;270,12;по счётчику
2100004815;2026-08;ХВО;129,66;0,00;129,66;по счётчику
2100015926;2026-06;ХВ;302,10;302,10;0,00;по счётчику
2100015926;2026-06;ХВО;145,01;145,01;0,00;по счётчику
2100015926;2026-07;ХВ;467,75;467,75;0,00;по счётчику
2100015926;2026-07;ХВО;224,52;224,52;0,00;по счётчику
2100015926;2026-08;ХВ;352,10;352,10;0,00;по счётчику
2100015926;2026-08;ХВО;169,01;169,01;0,00;по счётчику
2100026037;2026-06;ХВ;254,07;254,07;0,00;по нормативу
2100026037;2026-06;ХВО;121,95;121,95;0,00;по нормативу
2100026037;2026-06;ГВ;754,82;754,82;0,00;по нормативу
2100026037;2026-06;ГВО;362,31;362,31;0,00;по нормативу
2100026037;2026-07;ХВ;332,45;332,45;0,00;по нормативу
2100026037;2026-07;ХВО;159,58;159,58;0,00;по нормативу
2100026037;2026-07;ГВ;928,77;928,77;0,00;по нормативу
2100026037;2026-07;ГВО;445,81;445,81;0,00;по нормативу
2100026037;2026-08;ХВ;359,54;359,54;0,00;по нормативу
2100026037;2026-08;ХВО;172,58;172,58;0,00;по нормативу
2100026037;2026-08;ГВ;422,04;422,04;0,00;по нормативу
2100026037;2026-08;ГВО;202,58;202,58;0,00;по нормативу
2100037148;2026-06;ХВ;240,42;240,42;0,00;по счётчику
2100037148;2026-06;ХВО;115,40;115,40;0,00;по счётчику
2100037148;2026-07;ХВ;510,55;510,55;0,00;по счётчику
2100037148;2026-07;ХВО;245,06;245,06;0,00;по счётчику
2100037148;2026-08;ХВ;481,97;481,97;0,00;по счётчику
2100037148;2026-08;ХВО;231,35;231,35;0,00;по счётчику
2100048259;2026-06;ХВ;603,70;603,70;0,00;по счётчику
2100048259;2026-06;ХВО;289,78;289,78;0,00;по счётчику
2100048259;2026-07;ХВ;582,64;582,64;0,00;по счётчику
2100048259;2026-07;ХВО;279,67;279,67;0,00;по счётчику
2100048259;2026-08;ХВ;429,84;429,84;0,00;по счётчику
2100048259;2026-08;ХВО;206,32;206,32;0,00;по счётчику
2100059360;2026-06;ХВ;607,14;607,14;0,00;по счётчику
2100059360;2026-06;ХВО;291,43;291,43;0,00;по счётчику
2100059360;2026-07;ХВ;500,59;500,59;0,00;по счётчику
2100059360;2026-07;ХВО;240,28;240,28;0,00;по счётчику
2100059360;2026-08;ХВ;333,30;23,91;309,39;по счётчику
2100059360;2026-08;ХВО;159,98;11,47;148,51;по счётчику
2100060471;2026-06;ХВ;634,31;634,31;0,00;по счётчику
2100060471;2026-06;ХВО;304,47;304,47;0,00;по счётчику
2100060471;2026-07;ХВ;292,13;292,13;0,00;по счётчику
2100060471;2026-07;ХВО;140,22;140,22;0,00;по счётчику
2100060471;2026-08;ХВ;241,54;241,54;0,00;по счётчику
2100060471;2026-08;ХВО;115,94;115,94;0,00;по счётчику
2100071582;2026-06;ХВ;612,46;612,46;0,00;по счётчику
2100071582;2026-06;ХВО;293,98;293,98;0,00;по счётчику
2100071582;2026-07;ХВ;526,85;526,85;0,00;по счётчику
2100071582;2026-07;ХВО;252,89;252,89;0,00;по счётчику
2100071582;2026-08;ХВ;310,38;310,38;0,00;по счётчику
2100071582;2026-08;ХВО;148,98;148,98;0,00;по счётчику
2100093704;2026-06;ХВ;543,48;543,48;0,00;по нормативу
2100093704;2026-06;ХВО;260,87;260,87;0,00;по нормативу
2100093704;2026-07;ХВ;542,61;542,61;0,00;по нормативу
2100093704;2026-07;ХВО;260,45;260,45;0,00;по нормативу
