Номер счёта;Тип ИПУ;Заводской номер счётчика;Дата установки;Дата последней поверки;Срок следующей поверки;Последнее показание;Дата передачи показания
2100101112;ХВС;24011234;2019-06-12;2023-06-15;2029-06-15;218;2026-08-21
2100202213;ХВС;17023451;2018-04-10;2024-04-12;2030-04-12;341;2026-08-20
2100202213;ГВС;49010438;2018-04-10;2022-08-01;2026-08-01;96;2026-07-19
2100303314;ХВС;21034512;2020-09-03;2024-09-05;2030-09-05;127;2026-08-23
2100404415;ХВС;17045623;2014-10-14;2020-10-16;2026-10-16;456;2026-08-24
2100505516;ХВС;24056734;2021-03-22;2021-03-25;2027-03-25;189;2026-08-22
2100606617;ХВС;21067845;2019-08-19;2023-08-21;2029-08-21;502;2026-05-21
2100707718;ХВС;17078956;2022-05-30;2022-06-01;2028-06-01;96;2026-08-25
2100808819;ХВС;24089067;2020-02-11;2024-02-13;2030-02-13;264;2026-08-19
2100909920;ХВС;21090178;2017-09-07;2023-09-09;2029-09-09;388;2026-08-20
2100909920;ГВС;48011289;2017-09-07;2022-03-31;2026-03-31;147;2026-06-18
2100121122;ХВС;17101290;2021-07-15;2021-07-16;2027-07-16;143;2026-08-23
2100131223;ХВС;24112301;2019-11-05;2023-11-07;2029-11-07;312;2026-08-21
2100141324;ХВС;21123412;2016-05-18;2022-05-20;2028-05-20;275;2026-08-22
2100141324;ГВС;49134523;2016-05-18;2020-07-27;2026-07-27;88;2026-07-18
2100151425;ХВС;17145634;2023-01-12;2023-01-13;2029-01-13;58;2026-08-24
2100161526;ХВС;24156745;2014-09-25;2020-09-11;2026-09-11;431;2026-08-20
2100171627;ХВС;21167856;2020-12-02;2024-12-04;2030-12-04;227;2026-08-25
2100181728;ХВС;17178967;2018-06-20;2024-06-22;2030-06-22;369;2026-04-23
2100191829;ХВС;24189078;2022-08-09;2022-08-10;2028-08-10;104;2026-08-22
2100201930;ХВС;21190189;2021-10-13;2021-10-14;2027-10-14;176;2026-08-21
2100223132;ХВС;17201200;2019-03-14;2023-03-16;2029-03-16;288;2026-08-23
2100233233;ХВС;24212311;2020-07-08;2024-07-10;2030-07-10;152;2026-08-20
2100243334;ХВС;21223422;2015-04-22;2021-04-24;2027-04-24;341;2026-08-19
2100243334;ГВС;48234533;2015-04-22;2021-03-31;2025-03-31;129;2026-05-20
2100253435;ХВС;17245644;2022-02-16;2022-02-17;2028-02-17;73;2026-08-24
2100263536;ХВС;24256755;2021-05-25;2021-05-26;2027-05-26;198;2026-08-22
2100273637;ХВС;21267866;2019-09-30;2023-10-02;2029-10-02;265;2026-08-21
